Race,Year,State,Deaths,Population,Crude_Rate,Age_Adj_Death_Rate
Black,2007,Oklahoma,39,304098,12.8,25.2
Black,2007,Pennsylvania,137,1445762,9.5,13.9
Black,2007,South Carolina,243,1289462,18.8,29.1
Black,2007,Tennessee,212,1062187,20,36.6
Black,2007,Texas,358,2962118,12.1,25.1
Black,2007,Virginia,216,1583256,13.6,21.7
Black,2007,Washington,43,283382,15.2,43
Black,2007,West Virginia,10,67505,,
Black,2007,Wisconsin,37,374709,9.9,30.5
Black,2008,Alabama,230,1259177,18.3,26.4
Black,2008,Arizona,54,294617,18.3,54.2
Black,2008,Arkansas,76,458375,16.6,24.8
Black,2008,California,487,2662354,18.3,30.7
Black,2008,Colorado,36,231792,15.5,41.4
Black,2008,Connecticut,34,401643,8.5,17
Black,2008,Delaware,15,197813,,
Black,2008,District of Columbia,74,318392,23.2,20
Black,2008,Florida,254,3086395,8.2,15.8
Black,2008,Georgia,280,2962628,9.5,20.5
Black,2008,Illinois,254,1955231,13,20.5
Black,2008,Indiana,69,624185,11.1,20
Black,2008,Iowa,10,99622,,
Black,2008,Kansas,26,188485,13.8,27.5
Black,2008,Kentucky,48,352036,13.6,22.7
Black,2008,Louisiana,242,1444476,16.8,27.6
Black,2008,Maryland,190,1741767,10.9,19.8
Black,2008,Massachusetts,32,517040,6.2,12.6
Black,2008,Michigan,146,1485681,9.8,14.7
Black,2008,Minnesota,12,294544,,
Black,2008,Mississippi,163,1103216,14.8,23.2
Black,2008,Missouri,85,719723,11.8,19.9
Black,2008,New Jersey,112,1311696,8.5,14.7
Black,2008,New York,146,3473867,4.2,6.1
Black,2008,North Carolina,349,2084901,16.7,25.8
Black,2008,Ohio,291,1488002,19.6,28.8
Black,2008,Oklahoma,43,307270,14,27.9
Black,2008,Pennsylvania,159,1469600,10.8,15.6
Black,2008,South Carolina,235,1308465,18,27
Black,2008,Tennessee,223,1074684,20.8,37.9
Black,2008,Texas,339,3027152,11.2,23.1
Black,2008,Virginia,226,1602530,14.1,21.9
Black,2008,Washington,49,294548,16.6,50.5
Black,2008,West Virginia,14,68836,,
Black,2008,Wisconsin,35,381998,9.2,27.6
Black,2009,Alabama,231,1271247,18.2,26.5
Black,2009,Arizona,39,308020,12.7,36.3
Black,2009,Arkansas,77,462207,16.7,26.1
Black,2009,California,474,2691724,17.6,28.7
Black,2009,Colorado,42,239309,17.6,45.2
Black,2009,Connecticut,31,409897,7.6,14.8
Black,2009,Delaware,20,201775,9.9,19
Black,2009,District of Columbia,57,317978,17.9,15.1
Black,2009,Florida,277,3133488,8.8,16.5
Black,2009,Georgia,284,3023009,9.4,19.9
Black,2009,Illinois,281,1960826,14.3,22.2
Black,2009,Indiana,78,635234,12.3,22
Black,2009,Iowa,14,104045,,
Black,2009,Kansas,23,192058,12,23.6
Black,2009,Kentucky,52,359228,14.5,24.1
Black,2009,Louisiana,220,1468988,15,24.8
Black,2009,Maryland,147,1764644,8.3,14.5
Black,2009,Massachusetts,33,530509,6.2,12.5
Black,2009,Michigan,134,1481101,9,13
Black,2009,Minnesota,15,304750,,
Black,2009,Mississippi,155,1108721,14,22.8
Black,2009,Missouri,79,728187,10.8,18.1
Black,2009,Nebraska,10,94396,,
Black,2009,Nevada,15,251426,,
Black,2009,New Jersey,123,1323532,9.3,15.3
Black,2009,New York,163,3498751,4.7,6.6
Black,2009,North Carolina,362,2125058,17,26.3
Black,2009,Ohio,316,1501406,21,30.7
Black,2009,Oklahoma,43,314025,13.7,27.3
Black,2009,Pennsylvania,138,1492281,9.2,13.3
Black,2009,South Carolina,248,1320564,18.8,28
Black,2009,Tennessee,185,1087674,17,30.5
Black,2009,Texas,373,3101293,12,24.6
Black,2009,Virginia,236,1623781,14.5,22.1
