Race,Year,State,Population
Black,2010,Iowa,107203
Black,2010,Kansas,195412
Black,2010,Kentucky,364148
Black,2010,Louisiana,1485375
Black,2010,Maine,19674
Black,2010,Maryland,1783183
Black,2010,Massachusetts,539664
Black,2010,Michigan,1483261
Black,2010,Minnesota,311471
Black,2010,Mississippi,1115323
Black,2010,Missouri,734657
Black,2010,Montana,6917
Black,2010,Nebraska,96172
Black,2010,Nevada,255727
Black,2010,New Hampshire,19902
Black,2010,New Jersey,1333527
Black,2010,New Mexico,57717
Black,2010,New York,3523196
Black,2010,North Carolina,2151978
Black,2010,North Dakota,10145
Black,2010,Ohio,1510985
Black,2010,Oklahoma,319116
Black,2010,Oregon,94276
Black,2010,Pennsylvania,1506459
Black,2010,Rhode Island,84466
Black,2010,South Carolina,1329507
Black,2010,South Dakota,13356
Black,2010,Tennessee,1097940
Black,2010,Texas,3156011
Black,2010,Utah,42194
Black,2010,Vermont,8368
Black,2010,Virginia,1640836
Black,2010,Washington,310869
Black,2010,West Virginia,71260
Black,2010,Wisconsin,394478
Black,2010,Wyoming,6917
Black,2011,Alabama,1293037
Black,2011,Alaska,33368
Black,2011,Arizona,327548
Black,2011,Arkansas,471035
Black,2011,California,2749509
Black,2011,Colorado,254320
Black,2011,Connecticut,420735
Black,2011,Delaware,207425
Black,2011,District of Columbia,320832
Black,2011,Florida,3242646
Black,2011,Georgia,3113361
Black,2011,Hawaii,38852
Black,2011,Idaho,16880
Black,2011,Illinois,1971805
Black,2011,Indiana,652559
Black,2011,Iowa,110753
Black,2011,Kansas,199790
Black,2011,Kentucky,372115
Black,2011,Louisiana,1506336
Black,2011,Maine,20472
Black,2011,Maryland,1802494
Black,2011,Massachusetts,549080
Black,2011,Michigan,1488254
Black,2011,Minnesota,319140
Black,2011,Mississippi,1125114
Black,2011,Missouri,740525
Black,2011,Montana,8421
Black,2011,Nebraska,98120
Black,2011,Nevada,259830
Black,2011,New Hampshire,21080
Black,2011,New Jersey,1343487
Black,2011,New Mexico,61456
Black,2011,New York,3556174
Black,2011,North Carolina,2188334
Black,2011,North Dakota,11300
Black,2011,Ohio,1521089
Black,2011,Oklahoma,327715
Black,2011,Oregon,97912
Black,2011,Pennsylvania,1521882
Black,2011,Rhode Island,85186
Black,2011,South Carolina,1343297
Black,2011,South Dakota,14762
Black,2011,Tennessee,1114647
Black,2011,Texas,3231968
Black,2011,Utah,45028
Black,2011,Vermont,8889
Black,2011,Virginia,1664318
Black,2011,Washington,324542
Black,2011,West Virginia,73596
Black,2011,Wisconsin,399745
Black,2011,Wyoming,8052
Black,2012,Alabama,1302210
Black,2012,Alaska,35109
Black,2012,Arizona,336915
Black,2012,Arkansas,473402
Black,2012,California,2767389
Black,2012,Colorado,259561
Black,2012,Connecticut,426892
Black,2012,Delaware,211248
Black,2012,District of Columbia,324476
Black,2012,Florida,3311596
Black,2012,Georgia,3163293
